fid,x,y
"457",126.5362989630,33.5148020688
"458",126.5769240403,33.2556143919
"459",126.7914918234,33.3841339395
"460",126.7914918234,33.3841339395
"461",126.4018999999,33.4807699999
"462",126.7493000001,33.5578299997
"463",126.2519828527,33.4032695410
"464",126.5806149994,33.5197407204
"465",126.9208168310,33.4447887786
"466",126.3752325340,33.3046455948
"467",126.5353161996,33.4725728789
"468",126.7237303815,33.4856159148
"469",126.6919618007,33.3093085429
"470",126.4847324691,33.4874904777
"471",126.8986472699,33.4740922693
"472",126.1947370002,33.2757320003
"473",126.9212622095,33.4453605039
"474",126.5498135449,33.4946362265
"475",126.4722521647,33.4802295522
"476",126.4114393783,33.2566853775
"477",126.4017000004,33.2565800002
"478",126.4017000004,33.2565800002
"479",126.5246959998,33.5038985998
"480",126.6994000005,33.5486999996
"481",126.5151999999,33.5012100001
"482",126.4292600000,33.4320920002
"483",126.8277844276,33.5379614514
"484",126.5360051891,33.5072078581
"485",126.5578000005,33.4904999999
"486",126.5569000000,33.5163699999
"487",126.2596251114,33.4055876515
"488",126.2379763060,33.3932266359
"489",126.6203566965,33.5018813569
"490",126.6203566965,33.5018813569
"491",126.2325019999,33.3855200002
"492",126.5841954291,33.2546271979
"493",126.5841954291,33.2546271979
"494",126.4547541121,33.2686063701
"495",126.2621271775,33.4154175117
"496",126.7549243689,33.5581118510
"497",126.6647030002,33.4692001001
"498",126.2550895914,33.3505365335
"499",126.2397000003,33.3934600000
"500",126.6520000004,33.2925899996
"501",126.7498899997,33.5551110001
"502",126.5061822816,33.5088352598
"503",126.5952260261,33.5214754859
"504",126.5860658468,33.5213296290
"505",126.8564560200,33.5210365833
"506",126.5588680730,33.2524002771
"507",126.5261149998,33.5177730003
"508",126.8278406170,33.3270893929
"509",126.2527310000,33.2241591996
"510",126.4812000002,33.4909499998
"511",126.5071130383,33.5047710811
"512",126.3417933818,33.4526696938
"513",126.8114612059,33.4910971918
"514",126.5677000005,33.4405000002
"515",126.5204795932,33.5149687734
"516",126.5204795932,33.5149687734
"517",126.3237000005,33.3656900002
"518",126.6372818262,33.5323793680
"519",126.3004816241,33.2812686331
"520",126.8036759591,33.5458971313
"521",126.5530338993,33.4805487354
"522",126.9385115859,33.4608648932
"523",126.4289000005,33.4894000002
"524",126.4289000005,33.4894000002
"525",126.5634929730,33.2555468743
"526",126.4727480001,33.4862860002
"527",126.2599999998,33.2663879998
"528",126.4030308201,33.4825943574
"529",126.5869419594,33.2462219669
"530",126.1813586508,33.3447085100
"531",126.1951629946,33.2579123129
"532",126.5583999995,33.4505799999
"533",126.3083349250,33.3611401620
"534",126.5637221049,33.5196153857
"535",126.5056613843,33.2314053641
"536",126.7307115518,33.4910454919
"537",126.5105076687,33.2331161661
"538",126.5448849519,33.4718023532
"539",126.2701396379,33.4142149493
"540",126.7684575021,33.3748022209
"541",126.1814876903,33.3447285645
"542",126.5439117609,33.4845566347
"543",126.7737001988,33.4754447127
"544",126.3300085933,33.2566302510
"545",126.8766640464,33.3838225933
"546",126.2844948958,33.3842691874
